artist (original),"""Best"" pair",Similarity,Character difference,Operations to transform
LELO,KEL,0.5714285714285714,2,2
LELO,SEO,0.5714285714285714,2,2
Spiv,Max Spivak,0.5714285714285714,6,2
KITX,AKI,0.5714285714285714,3,2
GLAM,GAL,0.5714285714285714,3,2
Asunción Bastida i Pibernat,Asunción García Asarta,0.5714285714285714,13,5
MS1,MIES,0.5714285714285714,3,2
NERF,RAF,0.5714285714285714,3,2
Jaw,Jake,0.5714285714285714,1,1
Whiting Manufacturing Company,William Mainwaring Palin,0.5660377358490566,17,9
American Car and Foundry Company,Manuel Cantos Company,0.5660377358490566,20,5
Algemeen Hollands Fotopersbureau,Holland Foster,0.5652173913043478,20,5
Wimo Ambala Bayang,William Wardlaw Laing,0.5641025641025641,14,7
Hatip Mehmed Efendi,Haji Mohammed Sharif,0.5641025641025641,10,6
Fannie Polacca Nampeyo,Francisco Polanco,0.5641025641025641,13,5
Wimo Ambala Bayang,Willem Archibald Bake,0.5641025641025641,10,5
U.S. Signal Corps,R. Sidney Cocks,0.5625,8,4
United States Navy,Ante Starčević,0.5625,9,6
Vedovamazzei,Remo Gaibazzi,0.56,5,5
Vedovamazzei,Ventura Mazzi,0.56,5,3
Vedovamazzei,Vadod Moazzen,0.56,5,3
Saks Fifth Avenue,Andreas Faistenauer,0.5555555555555556,10,7
Oxholm,Olov Wikholm,0.5555555555555556,1,1
Elswick Ordnance Company,Elise Constance Mourant,0.5531914893617021,14,7
Minangkabau people,Mina Gampel,0.5517241379310345,10,4
Hiroshima Peace Memorial Museum,Meister vom Metropolitan Museum,0.5483870967741935,20,9
Flow,Florent,0.5454545454545454,1,1
Twesh,Gessho,0.5454545454545454,4,3
Askold Žáčko,Arnold Rog,0.5454545454545454,7,3
Blériot XI,Britta Iwald,0.5454545454545454,10,5
Flow,Fluoman,0.5454545454545454,2,2
Flow,Florane,0.5454545454545454,1,1
Twesh,Mahesh,0.5454545454545454,2,1
Swiz,Sekizan,0.5454545454545454,3,2
Ungga,Sengai,0.5454545454545454,3,3
Ungga,Shanga,0.5454545454545454,2,2
Twesh,Reishi,0.5454545454545454,4,3
Twesh,Toetsu,0.5454545454545454,3,3
Twesh,Thales,0.5454545454545454,2,2
RENOIR,RETNA,0.5454545454545454,4,2
United States Coast Guard,James Stewart Carstairs,0.5416666666666666,17,10
Hjördis Hjalmarsdotter Hjorth,Joris van der Horst,0.5416666666666666,17,8
Detroit Institute of Arts,Metrodorus of Athens,0.5333333333333333,16,5
Dirty 30,DDiArte,0.5333333333333333,6,3
Lump,Luise Rompe,0.5333333333333333,7,2
Atacameño,Jacano,0.5333333333333333,5,2
Lump,Luigi Zampa,0.5333333333333333,7,2
Atacameño,Stacia,0.5333333333333333,6,3
Uhde,Maria Uhden,0.5333333333333333,7,2
Uzbek,Uta Albeck,0.5333333333333333,2,2
Uzbek,Utz Benkel,0.5333333333333333,5,4
Lump,Louis Lampe,0.5333333333333333,7,3
Western Electronic Show and Convention,Meister der Johannesvision,0.53125,26,11
Elgin National Watch Company,Manuel Cantos Company,0.5306122448979592,16,5
Koninklijke Nederlandse Munt NV,Monogrammist AC (Noordelijke Nederlanden jaren 1630),0.5301204819277109,16,8
Boston and Sandwich Glass Company,Justo Almela Company,0.5283018867924528,19,4
Prabhavathi Meppayil,Abraham van Merlen,0.5263157894736842,14,6
National Archives and Records Administration,Master of the Khanenko Adoration,0.5263157894736842,27,12
Compagnie des Cristalleries de Saint-Louis,Charles Marie de Sarcus,0.5230769230769231,25,7
United States Holocaust Memorial Museum,Meister vom Metropolitan Museum,0.5142857142857142,23,9
American Telephone and Telegraph Company,Ferdinand Tellgmann,0.5084745762711864,26,8
GG,Gu Gao,0.5,4,2
GG,Gao Gu,0.5,4,2
CMR,C,0.5,2,1
DAJ,D,0.5,2,1
CHILE,SHE,0.5,3,2
KAUR,KAWS,0.5,2,1
FOG,MFONE,0.5,2,2
WHIP,HOBI,0.5,4,3
LAMA,SAMI,0.5,2,2
DIM2,DICX,0.5,2,1
VESPA,EVA,0.5,4,2
BATO,Ay-O,0.5,2,2
FCO,MFONE,0.5,4,3
MMCA,GOMA,0.5,4,2
MIN8,MIES,0.5,2,1
MIN8,VVIN,0.5,2,2
MIN8,SAMI,0.5,4,2
Mpc,Micon,0.5,3,2
FLIP,FKDL,0.5,4,2
LAMA,GOMA,0.5,2,1
FOG,O. G.,0.5,4,3
Mpc,McKay,0.5,4,2
Rheinische Glashütten-Actien-Gesellschaft,Elisabeth Grüttefien-Kiekebusch,0.5,23,9
Mpc,Marck,0.5,2,2
NSB,NemoS,0.5,4,2
NSB,B,0.5,2,1
IMBA,GOMA,0.5,2,2
LAMA,L.M.,0.5,2,2
FCO,C,0.5,2,2
8A,ROA,0.4,1,1
8A,EVA,0.4,1,1
M+,MWF,0.4,1,1
Sillett,Emma Sillett,0.7368421052631579,5,1
Viardot,Léon Viardot,0.7368421052631579,5,1
Mendoza,Ryan Mendoza,0.7368421052631579,5,1
Mendoza,June Mendoza,0.7368421052631579,5,1
Adam Loofs,Adam Lowe,0.7368421052631579,3,1
Schaper,Karl Schaper,0.7368421052631579,5,1
Littlefield,Cynthia Littlefield,0.7333333333333333,8,1
Ling,Li Ying,0.7272727272727273,3,1
Ling,Ling Po,0.7272727272727273,3,1
Ling,Li Tang,0.7272727272727273,3,1
Pores,Diores,0.7272727272727273,1,1
Ling,Li Qing,0.7272727272727273,3,1
Ling,Li Ming,0.7272727272727273,3,1
Ling,Lu Qing,0.7272727272727273,3,1
Ling,Li Song,0.7272727272727273,3,1
Ling,Linqing,0.7272727272727273,3,1
Tizer,Keizer,0.7272727272727273,1,1
Ling,Li Dong,0.7272727272727273,3,1
Caper,Carter,0.7272727272727273,1,1
Chege,Cheope,0.7272727272727273,1,1
Jaune,Jacone,0.7272727272727273,1,1
Phabel,Pøbel,0.7272727272727273,2,1
Zenor,Evenor,0.7272727272727273,1,1
Eres,Eumares,0.7272727272727273,3,1
Cheon,Cheope,0.7272727272727273,1,1
Cheon,Chelín,0.7272727272727273,1,1
Ling,Li Heng,0.7272727272727273,3,1
Dain,Dai Wan,0.7272727272727273,3,1
Devisme,Deve,0.7272727272727273,3,1
Dain,Dai Yin,0.7272727272727273,3,1
Ling,Li Kang,0.7272727272727273,3,1
Stikman,Stik,0.7272727272727273,3,1
Sheryo,Sheri,0.7272727272727273,2,1
Sheron,Sheri,0.7272727272727273,2,1
Mark Klett,Mark Lippett,0.7272727272727273,2,1
Deace,D*Face,0.7272727272727273,1,1
Tairona,Tona,0.7272727272727273,3,1
Maur,Mauribu,0.7272727272727273,3,1
Swatch,Watch,0.7272727272727273,2,1
Math,Max Uth,0.7272727272727273,3,1
Hong,Hong Yi,0.7272727272727273,3,1
Hong,Lu Hong,0.7272727272727273,3,1
Hong,Wu Hong,0.7272727272727273,3,1
Hong,Xu Hong,0.7272727272727273,3,1
Cagniart,Émile Cagniart,0.7272727272727273,6,1
Anna Holtblad,Anna Glad,0.7272727272727273,5,1
Dain,Dai Jin,0.7272727272727273,3,1
Bater,Balder,0.7272727272727273,1,1
