artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,Type
Elisabeth Deane,,,female,,,,,,1926.0,,,,,,[],,,,,"London, England","{London:1},{England:1}",,,,,,,,
Luisa Lambri,,Italy,female,,,,Como,,1969.0,,2014.0,2014.0,,,[],,,,"video artist,artist,photographer",,,,,,,,,Yes,
Francis Greenway,,United Kingdom of Great Britain and Ireland,male,,,,Bristol,New South Wales,1777.0,1837.0,1812.0,1812.0,,,[],,,,"civil servant,architect",,,,,,,,,No,
Deborah Kelly,,,female,,,,,,,,2014.0,2014.0,,,[],,,,researcher,"Sydney, Australia","{Sydney:2},{Australia:2}",,,,,,,Yes,
Queenie McKenzie,,Australia,female,,,,,,1930.0,1998.0,1998.0,1998.0,,,[],,,,"painter,artist",,,,,,,,,,
Jonathan Richardson the Elder,,Kingdom of Great Britain,male,,,,London,London Borough of Camden,1667.0,1745.0,1730.0,1735.0,,London,[],,,,"drawer,etcher,art collector,art historian,painter",,,,,,,,,No,
Gallé,,Hungary,male,,,,Senta,Szeged,1908.0,1980.0,1910.0,1910.0,,,[],,,,"lichenologist,botanist,biologist",France,{France:1},,,,,,,No,
Santos,,Spain,male,,,,Santa Cruz de Tenerife,Santa Cruz de Tenerife,1940.0,2008.0,1915.0,1915.0,,,[],,,,"association football player,lawyer",,,,,,,,,No,
Mariano Rubio Martínez,,Spain,male,,,,Calatayud,,1926.0,,1978.0,1978.0,,,[],,,,"painter,photographer",,,,,,,,,No,
Charles Graffart,,Belgium,male,,,,,,1893.0,1967.0,1938.0,1938.0,,,[],,,,sculptor,,,,,,,,,No,
Claes Cornelisz. Moeyaert,,Dutch Republic,male,,,,Durgerdam,Amsterdam,1592.0,1655.0,1630.0,1630.0,,"Amsterdam,Italy",['Amsterdam:1612-1655'],,,,"drawer,painter,engraver",,,,,,,,,No,
Madan Mahatta,,,male,,,,,,1932.0,2014.0,1966.0,1974.0,,,[],,,,,,,,,,,,,No,
Joseph Swan,,,male,,,,Lincoln County Hospital,Filey,1791.0,1874.0,1881.0,1881.0,,,[],,,,"engraver,anatomist,surgeon,physician",,,,,,,,,No,
Yamamoto Hiroyuki,,Japan,male,,,,Kanagawa Prefecture,,1984.0,,,,,,[],,,,actor,Japan,{Japan:2},,,,,,,,
Federica Galli,,Kingdom of Italy,female,,,,Soresina,Milan,1932.0,2009.0,1952.0,2006.0,,,[],,,,"artist,engraver","Trentino, Italy, Venice, Umbria, Piemonte, Milan, Carasco, Sardinia","{Venice:41},{Milan:13},{Italy:60},{Sardinia:1},{Carasco:1},{Umbria:1},{Trentino:1},{Piemonte:2}",,,,,,,Yes,
Mosè Bianchi,,Kingdom of Italy,male,,,,Monza,Monza,1840.0,1904.0,1865.0,1880.0,,"Kingdom of Italy,Milan,Venice,Rome,Paris,Chioggia,Monza",[],,,,painter,,,,,,,,,No,
Eberhard Cornelis Rahms,,,male,,,,Rotterdam,,1823.0,1907.0,,,,,[],,,,"lithographer,drawer,etcher,painter,engraver,photographer","Utrecht, Netherlands","{Utrecht:3},{Netherlands:2}",,,,,,,,
Walraad Nieuwhoff,,,male,,,,Lower Saxony,Amsterdam,1790.0,1837.0,,,,Amsterdam,['Amsterdam:1814-1837'],,,,"printmaker,painter","Rotterdam, Hague, Amsterdam","{Amsterdam:18},{Rotterdam:3},{Hague:12}",,,,,,,,
Joseph Yeager,,,male,,,,,,,,1815.0,1816.0,,,[],,,,artist,,,,,,,,,No,
Antoine Masson,,France,male,,,,Loury,Paris,1636.0,1700.0,1665.0,1665.0,,Paris,[],,,,"copper engraver,visual artist,painter,engraver",,,,,,,,,No,
Hermanus Jan Hendrik van Rijkelijkhuysen,,Kingdom of the Netherlands,male,,,,Utrecht,Utrecht,1813.0,1883.0,,,,Utrecht,['Utrecht:1828-1883'],,,,"printmaker,painter",Utrecht,{Utrecht:32},,,,,,,,
Cornelis van der Grient,,Kingdom of the Netherlands,male,,,,Delft,Blaricum,1827.0,1918.0,,,,,[],,,,"watercolorist,drawer,etcher,painter",Netherlands,{Netherlands:9},,,,,,,,
Robert Home,,United Kingdom of Great Britain and Ireland,male,,,,Kingston upon Hull,Kanpur,1752.0,1834.0,,,,,[],,,,painter,London,{London:1},,,,,,,,
Petrus Johannes Arendzen,,Kingdom of the Netherlands,male,,,,Amsterdam,Hampstead,1846.0,1932.0,,,,Amsterdam,[],,,,"drawer,etcher,painter","Antwerp, Netherlands, Amsterdam","{Amsterdam:4},{Netherlands:20},{Antwerp:1}",,,,,,,,
Eleuterio Pagliano,,Kingdom of Italy,male,,,,Casale Monferrato,Milan,1826.0,1903.0,1880.0,1880.0,,,[],,,,painter,,,,,,,,,No,
Ellen Day Hale,,United States,female,,,,Worcester,Brookline,1855.0,1940.0,1893.0,1893.0,,,[],,{Impressionism:2},Impressionism:1893-1893,"printmaker,etcher,painter,artist",,,,,,,,,No,
Frederick Bloemaert,,Netherlands,male,,,,Utrecht,Utrecht,1616.0,1690.0,,,,Utrecht,['Utrecht:1629-1690'],,,,"drawer,copper engraver,printmaker,painter",Utrecht,{Utrecht:30},,,,,,,,
Peter Nabarlambarl,,,male,,,,,,1930.0,2001.0,1999.0,1999.0,,,[],,,,artist,,,,,,,,,,
Camille Jacob Pissarro,,Kingdom of Denmark,male,,,,Charlotte Amalie,Paris,1830.0,1903.0,,,,"Paris,Caracas,Amsterdam,Netherlands,London,La Roche-Guyon,Montmorency,Charlotte Amalie","['Amsterdam:1898-1898', 'Netherlands:1894-1898']",,,,"pastellist,lithographer,architectural draftsperson,printmaker,graphic artist,painter",France,{France:3},,,,,,,,
Thuraya Al-Baqsami,,Kuwait,female,,,,Kuwait,,1952.0,,1991.0,1991.0,,,[],,,,artist,Kuwait,{Kuwait:1},,,,,,,,
Mary Nimmo Moran,,United Kingdom,female,,,,Strathaven,East Hampton,1842.0,1899.0,1881.0,1881.0,,"Newark,Long Island,East Hampton",[],,{Realism:2},Realism:1881-1881,"printmaker,etcher,artist",,,,,,,,,No,
Samuel Seymour,,,male,,,,,,1770.0,1853.0,1803.0,1803.0,,,[],,,,,,,,,,,,,No,
Gerard Valck,,Dutch Republic,male,,,,Amsterdam,Amsterdam,1651.0,1726.0,,,,"Amsterdam,London","['Amsterdam:1670-1726,1700-1700', 'London:1673-1680']",,,,"instrument maker,cartographer,painter,engraver,printseller,drawer",Amsterdam,{Amsterdam:1},,,,,,,,
Alphonse Levy,,France,male,,,,Marmoutier,Algiers,1843.0,1918.0,1884.0,1884.0,,,[],,,,"designer,caricaturist,painter,opinion journalist",,,,,,,,,No,
Roelof van der Meulen,,,male,,,,Amsterdam,Amsterdam,1806.0,1833.0,,,,,[],,,,etcher,"Netherlands, Amsterdam","{Amsterdam:10},{Netherlands:6}",,,,,,,,
Mohammed Omar Khalil,,Sudan,male,,,,Burri Almahas,,1936.0,,1980.0,1980.0,,New York City,[],,,,"printmaker,visual artist,painter",Sudan,{Sudan:1},,,,,,,,
Giovanni Battista Franco,,Republic of Venice,male,,,,Venice,Venice,1510.0,1561.0,,,,,[],,,,"drawer,printmaker,etcher,painter","Venice, Italy","{Italy:3},{Venice:1}",,,,,,,,
Bate,,United Kingdom of Great Britain and Ireland,female,,,,Napier House,Westcliff-on-Sea,1878.0,1951.0,1829.0,1829.0,,"Natural History Museum at Tring,Natural History Museum, London",[],,,,"anthropologist,archaeologist,paleontologist,ornithologist,zoologist",,,,,,,,,No,
Solange Oliveira,,,female,,,,,,2000.0,,1980.0,1980.0,,,[],,,,researcher,,,,,,,,,,
Gottfried Schadow,,Kingdom of Prussia,male,,,,Berlin,Berlin,1764.0,1850.0,,,,Berlin,[],,,,"lithographer,art educator,printmaker,caricaturist,graphic artist,sculptor,painter,illustrator,tailor","Paris, France","{Paris:1},{France:1}",,,,,,,,
Johann Friedrich Bolt,,Germany,male,,,,Berlin,Berlin,1769.0,1836.0,1794.0,1814.0,,Berlin,[],,,,"drawer,printmaker,engraver",Berlin,{Berlin:2},,,,,,,No,
Theodor Matham,,Netherlands,male,,,,Haarlem,Amsterdam,1600.0,1676.0,,,,"Amsterdam,Paris,Haarlem,Rome,The Hague","['Amsterdam:1652-1652,1662-1676', 'Haarlem:1621-1625,1637-1641', 'Rome:1629-1630', 'The Hague:1656-1656']",,,,"drawer,visual artist,painter,engraver","Antwerp, Amsterdam, Northern Netherlands, Middelburg","{Northern Netherlands:10},{Middelburg:1},{Antwerp:1},{Amsterdam:1}",,,,,,,,
Pieter van der Meulen,,Netherlands,male,,,,City of Brussels,Paris,1638.0,1670.0,,,,"Paris,London","['Paris:1664-1664', 'London:1670-1670']",,,,"sculptor,painter",Amsterdam,{Amsterdam:3},,,,,,,,
Laborde,,,,,,,,,,,,,,,[],,,,botanist,Paris,{Paris:1},,,,,,,,
Thomas Johnston,,,male,,,,Boston,Boston,1708.0,1767.0,1759.0,1759.0,,,[],,,,"printmaker,organ builder,painter,illustrator",,,,,,,,,No,
John Henry Amshewitz,,United Kingdom of Great Britain and Ireland,male,,,,,,1882.0,1942.0,1882.0,1942.0,,,[],,,,"caricaturist,graphic artist,painter",,,,,,,,,No,
Francesco Bartolozzi,,United Kingdom,male,,,,Florence,Lisbon,1728.0,1815.0,1774.0,1813.0,,,[],,,,"drawer,printmaker,visual artist,publisher",,,,,,,,,No,
Rihards Zariņš,,Latvia,male,,,,Ķieģeļi,Riga,1869.0,1939.0,1913.0,1925.0,,,[],,,,"postage stamp designer,graphic artist,painter,graphic designer",,,,,,,,,No,
Susan Goethel Campbell,,,female,,,,,,1956.0,,2002.0,2002.0,,,[],,,,artist,,,,,,,,,Yes,
Jörg Schmeisser,,Australia,male,,,,Słupsk,Canberra,1942.0,2012.0,1998.0,1998.0,,"Hamburg,Canberra",[],,,,drawer,,,,,,,,,,
Anne Allen,,,female,,,,,,,,1796.0,1798.0,,,[],,,,,,,,,,,,,No,
Herbert Kisza,,Czech Republic,male,,,,Chotěbuz,,1943.0,,1983.0,1983.0,,,[],,,,"graphic artist,sculptor,painter,photographer",,,,,,,,,,
Johann Georg Rosenberg,,Germany,male,,,,Berlin,Berlin,1739.0,1808.0,1781.0,1781.0,,,[],,,,"watercolorist,copper engraver,painter,engraver,architect",,,,,,,,,No,
Giovanni Battista Brustoloni,,Republic of Venice,male,,,,Venice,Venice,1726.0,1796.0,1776.0,1776.0,,Venice,[],,,,"copper engraver,printmaker,painter",,,,,,,,,No,
Magdalina Konstantinovna Mavrovskaya,,Soviet Union,female,,,,Maminskoe,Kazan,1914.0,2012.0,1914.0,2012.0,,,[],,,,painter,,,,,,,,,Yes,
Yuriy Yakovenko,,Ukraine,male,,,,Bakhmach,,1971.0,,2016.0,2016.0,,,[],,,,association football player,,,,,,,,,Yes,
George Vertue,,Kingdom of Great Britain,male,,,,St Martin-in-the-Fields,London,1684.0,1756.0,,,,Greater London,[],,,,"printmaker,antiquarian",London,{London:1},,,,,,,,
Edward Troughton,,United Kingdom of Great Britain and Ireland,male,,,,Cumberland,London,1753.0,1835.0,1800.0,1800.0,,,[],,,,"inventor,astronomer",,,,,,,,,No,
Jen,,United States,female,,,,Sherman Oaks,,1969.0,,2011.0,2011.0,,,[],,,,"film actor,television actor,film producer,film director,voice actor,actor",,,,,,,,,Yes,
Shinji Ohmaki,,,,,,,,,1971.0,,2011.0,2011.0,,,[],,,,,,,,,,,,,Yes,
Xu Hualing,,People's Republic of China,,,,,,,1975.0,,2015.0,2015.0,,,[],,,,artist,,,,,,,,,Yes,
George Woodall,,,male,,,,,,,,1898.0,1898.0,,,[],,,,"glass engraver,researcher",,,,,,,,,No,
Edward Rooker,,United Kingdom of Great Britain and Ireland,male,,,,,,1724.0,1774.0,,,,,[],,,,"drawer,engraver,actor","London, England, United Kingdom","{United Kingdom:1},{London:1},{England:1}",,,,,,,,
Heinrich Nauen,,German Reich,male,,,,Krefeld,Kalkar,1880.0,1940.0,1880.0,1908.0,,,[],,,,"printmaker,university teacher,painter",,,,,,,,,No,
Johann Ludwig Stahl,,Germany,male,,,,Nuremberg,,1759.0,1835.0,1794.0,1794.0,,,[],,,,"miniaturist,copper engraver,printmaker,graphic artist,art dealer",,,,,,,,,No,
Johann Friedrich Tielker,,Germany,male,,,,Brunswick,Brunswick,1763.0,1832.0,1798.0,1798.0,,,[],,,,artist,,,,,,,,,No,
John Wilson,,,male,,,,,,,,1985.0,2002.0,,,[],,,,politician,,,,,,,,,Yes,
Meno Haas,,Germany,male,,,,Hamburg,Berlin,1752.0,1833.0,1800.0,1800.0,,,[],,,,"painter,illustrator",,,,,,,,,No,
Honoré Fragonard,,France,male,,,,Grasse,former 2nd arrondissement of Paris,1732.0,1806.0,1763.0,1763.0,,"Vienna,Tivoli,Rome,Paris,Naples,Strasburg,Grasse,Prague,Dresden,Frankfurt",[],,,,"drawer,printmaker,painter,illustrator",,,,,,,,,No,
William Brocas,,Ireland,male,,,,Dublin,Dublin,1790.0,1868.0,1811.0,1811.0,,,[],,,,painter,,,,,,,,,No,
Anna Lea Merritt,,United States,female,,,,Philadelphia,Hurstbourne Tarrant,1844.0,1930.0,1887.0,1887.0,,"Britain,Dresden,Philadelphia,London",[],,,,"etcher,botanical illustrator,graphic artist,painter,artist",,,,,,,,,No,
Marcello Grassmann,,Brazil,male,,,,São Simão,São Paulo,1925.0,2013.0,1962.0,1962.0,,,[],,,,painter,,,,,,,,,No,
Petr Herel,,Australia,male,,,,Hořice,,1943.0,,1973.0,2003.0,,Australia,[],,,,"drawer,visual artist,graphic artist,teacher",,,,,,,,,Yes,
Henryk Pillati,,Congress Poland,male,,,,Warsaw,Warsaw,1832.0,1894.0,1872.0,1872.0,,,[],,,,painter,,,,,,,,,No,
Roy Kennedy,,,male,,,,Darlington Point,,1934.0,,2001.0,2001.0,,,[],,,,artist,,,,,,,,,Yes,
Bernhardt Wall,,United States,male,,,,,,1872.0,1956.0,1924.0,1924.0,,,[],,,,lithographer,,,,,,,,,No,
Víctor Pérez Pallarés,,Spain,male,,,,Lleida City,Lleida,1933.0,2018.0,1959.0,1971.0,,,[],,,,"printmaker,painter,teacher",,,,,,,,,No,
Urbain Massard,,France,male,,,,Paris,,1775.0,1843.0,1831.0,1831.0,,,[],,,,engraver,,,,,,,,,No,
Ahmed Karahisari,Turkish,Ottoman Empire,male,,,"{Ottoman Period (before 1600),Süleyman the Magnificent Period (1520–1566):11}",Afyonkarahisar,Istanbul,1469.0,1556.0,,,,,[],,{Ottoman Period:11},,calligrapher,,,,,,,,,,
Zénobe Gramme,,Belgium,male,,,,Jehay,Bois-Colombes,1826.0,1901.0,1880.0,1880.0,,,[],,,,"inventor,physicist",,,,,,,,,No,
Edo,,Socialist Federal Republic of Yugoslavia,male,,,,Jesenice,,1955.0,,1848.0,1897.0,,,[],,,,"ice hockey player,ice hockey coach",,,,,,,,,No,
Adriaan Bemme,,Northern Low Countries,male,,,,Delft,Rotterdam,1753.0,1831.0,,,,Rotterdam,['Rotterdam:1774-1774'],,,,"stampcutter,drawer,medalist",Rotterdam,{Rotterdam:2},,,,,,,,
Leslie Boyd,,,female,,,,,,,,,,,,[],,,,"researcher,physician","PA, Philadelphia","{Philadelphia:3},{PA:3}",,,,,,,,
Titarubi,,,female,,,,Bandung,,,,2011.0,2016.0,,,[],,,,,,,,,,,,,Yes,
Juan Ribalta,,Spain,male,,,,Q2807,Valencia,1596.0,1628.0,1620.0,1620.0,,,[],,,,painter,,,,,,,,,No,
Lim Soo Ngee,,,,,,,,,,,2016.0,2016.0,,,[],,,,sculptor,,,,,,,,,Yes,
Charles Sargeant Jagger,,United Kingdom of Great Britain and Ireland,male,,,,Kilnhurst,London,1885.0,1934.0,,,,London,[],,,,"sculptor,painter",London,{London:2},,,,,,,,
Cornelis de Heem,,Southern Netherlands,male,,,,Leiden,Antwerp,1631.0,1695.0,1655.0,1655.0,,,[],,,,"botanical illustrator,painter",Netherlands,{Netherlands:1},,,,,,,No,
Johann Georg de Hamilton,,Netherlands,male,,,,Brussels,Vienna,1672.0,1737.0,1720.0,1720.0,,"Berlin,Vienna,City of Brussels","['Vienna:1718-1737,1689-1689']",,,,painter,,,,,,,,,No,
Hartog van Laun,,,male,,,,Wrocław,Amsterdam,1732.0,1815.0,,,,Amsterdam,['Amsterdam:1784-1815'],,,,"scientific instrument maker,instrument maker",Amsterdam,{Amsterdam:6},,,,,,,,
Daniel Quare,,Kingdom of Great Britain,male,,,,Somerset,London Borough of Croydon,1649.0,1724.0,1710.0,1710.0,,,[],,,,"inventor,watchmaker",,,,,,,,,No,
Weston,,,male,,,,,,,,,,,,[],,,,,Netherlands,{Netherlands:1},,,,,,,,
Quirinus Harder,,Kingdom of the Netherlands,male,,,,Rotterdam,Vlissingen,1801.0,1880.0,,,,,[],,,,"civil engineer,architect",Netherlands,{Netherlands:1},,,,,,,,
Argand,,Republic of Geneva,male,,,,Geneva,Paris,1768.0,1822.0,,,,,[],,,,"book printer,mathematician,politician",United Kingdom,{United Kingdom:1},,,,,,,,
Thomas Cook,,United Kingdom of Great Britain and Ireland,male,,,,Derbyshire,Leicester,1808.0,1892.0,,,,,[],,,,entrepreneur,United Kingdom,{United Kingdom:3},,,,,,,,
Emma Bepler,,,female,,,,,,1864.0,1947.0,,,,,[],,,,,"Ohio, Cincinnati, United States","{Cincinnati:1},{Ohio:1},{United States:1}",,,,,,,,
John McNaught,,,male,,,,,,1902.0,1970.0,,,,,[],,,,journalist,Rotterdam,{Rotterdam:1},,,,,,,,
Samuel Best,,,male,,,,,,1738.0,1825.0,,,,,[],,,,"Anglican priest,academic","Ohio, Cincinnati, United States","{Cincinnati:1},{Ohio:1},{United States:1}",,,,,,,,
Porter,,United States,male,,,,West Plains,Nashville,1927.0,2007.0,,,,,[],,,,botanist,United Kingdom,{United Kingdom:1},,,,,,,,
Edward Massey,,United Kingdom of Great Britain and Ireland,male,,,,,,,1852.0,,,,,[],,,,clockmaker,London,{London:1},,,,,,,,
Blaise Pascal,,Kingdom of France,male,,,,birth house of Blaise Pascal,Paris,1623.0,1662.0,1652.0,1652.0,,,[],,,,"French moralist,theologian,mathematician,physicist,writer,philosopher,statistician",,,,,,,,,No,
Masayuki,,Tokugawa shogunate,male,,,,Edo,,,,,,,Edo,[],,,,"ukiyo-e artist,painter",Japan,{Japan:1},,,,,,,,
John Donaghy,,United States,male,,,,Hollidaysburg,DeLand,1838.0,1931.0,,,,,[],,,,illustrator,Amsterdam,{Amsterdam:2},,,,,,,,
Henry L. Fry,,,male,,,,Bath,Cincinnati,1807.0,1895.0,,,,,[],,,,wood carver,"Ohio, Cincinnati, United States","{Cincinnati:2},{Ohio:2},{United States:2}",,,,,,,,
Thomas Edison,,United States,male,,,,Milan,West Orange,1847.0,1931.0,1880.0,1885.0,,,[],,,,"film director,inventor,mathematician,physicist,entrepreneur,engineer,businessperson,screenwriter",,,,,,,,,No,
Hénon,,France,male,,,,Lyon,Montpellier,1802.0,1872.0,,,,Paris,[],,,,"botanist,journalist,politician,physician","France, Calais","{Calais:5},{France:5}",,,,,,,,
Topham,,,male,,,,,,1904.0,1979.0,,,,,[],,,,botanist,"France, Calais","{Calais:2},{France:2}",,,,,,,,
Brunot,,France,male,,,,Radziejów,Paris,1904.0,1987.0,,,,,[],,,,"activist,politician,teacher","France, Calais","{Calais:2},{France:2}",,,,,,,,
Ellie,,United States,female,,,,New York City,,1965.0,,,,,,[],,,,"film actor,swimmer,pornographic actor,botanical collector","France, Calais","{Calais:2},{France:2}",,,,,,,,
Claude Chappe,,France,male,,,,Brûlon,Paris,1763.0,1805.0,1815.0,1815.0,,,[],,,,"inventor,engineer",France,{France:1},,,,,,,No,
Cordier,,France,male,,,,,,1797.0,1874.0,,,,,[],,,,"botanist,physician","France, Calais","{Calais:2},{France:2}",,,,,,,,
Dognin,,France,male,,,,Lyon,Wimille,1847.0,1931.0,,,,,[],,,,lepidopterist,"France, Calais","{Calais:1},{France:1}",,,,,,,,
James,,United States,male,,,,Elwood,Pullman,1905.0,1982.0,1888.0,1898.0,,,[],,,,"entomologist,writer","France, Calais","{Calais:2},{France:2}",,,,,,,No,
Jost Bürgi,,Switzerland,male,,,,Lichtensteig,Kassel,1552.0,1632.0,1580.0,1580.0,,,[],,,,"amateur mathematician,clockmaker,astronomer",,,,,,,,,No,
Josef Urban,,Czechoslovakia,male,,,,Bylany (Chrášťany),Prague,1899.0,1968.0,1906.0,1906.0,,,[],,,,amateur wrestler,,,,,,,,,No,
Thomas Alva Edison,,United States,male,,,,Milan,West Orange,1847.0,1931.0,1878.0,1878.0,,,[],,,,"film director,inventor,mathematician,physicist,entrepreneur,engineer,businessperson,screenwriter",,,,,,,,,No,
Pons,,,male,,,,,,,,1830.0,1830.0,,,[],,,,Catholic priest,"France, Paris","{France:2},{Paris:2}",,,,,,,No,
Nikolaus Rugendas,,,male,,,,,,1619.0,1694.0,1616.0,1616.0,,,[],,,,watchmaker,,,,,,,,,No,
Rennerus Arsenius,,,male,,,,,,,,1569.0,1569.0,,Leuven,[],,,,engraver,,,,,,,,,No,
Jean Richard,,France,male,,,,Bessines,Senlis,1921.0,2001.0,1945.0,1950.0,,,[],,,,musician,"Geneva, Switzerland","{Switzerland:2},{Geneva:2}",,,,,,,No,
Isoda Koryusai,,Japan,male,,,,,,1735.0,1790.0,,,,"Yagenbori,Tokyo",[],,,,"ukiyo-e artist,xylographer,artist",Japan,{Japan:2},,,,,,,,
Antoine Gibus,,,male,,,,Limoges,Versailles,1798.0,1871.0,1840.0,1900.0,,,[],,,,hatter,,,,,,,,,No,
Yang Meizi,,Southern Song dynasty,female,,,,,,1162.0,1233.0,1219.0,1219.0,,,[],,,,"empress consort,politician,poet",,,,,,,,,No,
Sesshu Toyo,Japanese,Japan,male,,,{Muromachi period (1392–1573):11},Bitchū Province,Masuda,1420.0,1506.0,1486.0,1505.0,,"Tokyo,Yamaguchi",[],,{Ink and wash painting:11},Ink and wash painting:1486-1505,"painter,bhikkhu",,,,,,,,,No,
Konnakis Painter,,,http://www.wikidata.org/.well-known/genid/1393c35d952cc30f0157457b324b2706,,,,,,,,,,,,[],,,,"Vase-painter of the Gnathia style,Apulian vase-painter","South Italy, Gnathia","{Gnathia:6},{South Italy:6}",,,,,,,,
Apollodoros,,Classical Athens,male,,,,,,501.0,401.0,,,,Kerameikos,[],,,,sculptor,"Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Carlsruhe Painter,,,http://www.wikidata.org/.well-known/genid/663952f9fe150f5c89c1f76e3f093fb8,,,,,,,,,,,,[],,,,,"Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Painter of Munich 1736,,Classical Athens,http://www.wikidata.org/.well-known/genid/3ef806ccce0d5ae0f074bb6f3410fed1,,,,,,,,,,,Kerameikos,[],,,,"Attic vase-painter,black-figure vase painter","Greece, Athens","{Athens:5},{Greece:5}",,,,,,,,
Oionokles Painter,,Classical Athens,http://www.wikidata.org/.well-known/genid/93a85be7ef6915e2fbb4d609f4cd238b,,,,,,500.0,,,,,,[],,,,"Attic vase-painter,red-figure vase painter","Greece, Athens","{Athens:2},{Greece:2}",,,,,,,,
Briseis Painter,,,http://www.wikidata.org/.well-known/genid/b4fac656753c3236ff79d46ad7a01b48,,,,,,,,,,,Athens,[],,,,"Attic vase-painter,red-figure vase painter","Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Hoppin Painter,,,http://www.wikidata.org/.well-known/genid/57eaaf8f29475bccc1e1d7ea99c97de3,,,,,,,,,,,,[],,,,"Apulian vase-painter,red-figure vase painter","South Italy, Apulia","{Apulia:3},{South Italy:3}",,,,,,,,
Nicholas Stone,,United Kingdom,male,,,,Exeter,Exeter,1586.0,1647.0,,,,"London,Oxford,Amsterdam","['London:1595-1607,1613-1647', 'Oxford:1633-1634', 'Amsterdam:1607-1613']",,,,"stonemason,architect,sculptor",Amsterdam,{Amsterdam:3},,,,,,,,
Willem Hendrik van der Wall,,,male,,,,Utrecht,Utrecht,1716.0,1790.0,,,,"Antwerp,Utrecht",['Utrecht:1731-1790'],,,,"carver,sculptor",Utrecht,{Utrecht:3},,,,,,,,
Painter of the Vatican Mourner,,,http://www.wikidata.org/.well-known/genid/c58c69f8c941789c6e413626aa4f57fd,,,,,,600.0,,,,,,[],,,,"Attic vase-painter,black-figure vase painter","Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Leoncillo Leonardi,,Kingdom of Italy,male,,,,Spoleto,Rome,1915.0,1968.0,1960.0,1960.0,,,[],,,,"drawer,ceramicist,sculptor,partisan,teacher",,,,,,,,,No,
Chiusi Painter,,Classical Athens,male,,,,,,600.0,,,,,,[],,,,"Attic vase-painter,black-figure vase painter","Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Verrocchio,,Republic of Florence,male,,,,Florence,Venice,1435.0,1488.0,,,,"Orvieto,Florence,Pistoia,Venice",[],,,,"bronze sculptor,architectural draftsperson,carver,sculptor,painter,musician,goldsmith,architect",Italy,{Italy:4},,,,,,,,
Wraith Painter,,,http://www.wikidata.org/.well-known/genid/feb3607b763e1e40be2854044c79df46,,,,,,600.0,600.0,,,,,[],,,,"Attic vase-painter,black-figure vase painter","Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Carpenter Painter,,Classical Athens,http://www.wikidata.org/.well-known/genid/41583aa58de97cb38bcf08113698d78b,,,,,,550.0,,,,,Kerameikos,[],,,,"Attic vase-painter,red-figure vase painter","Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Caivano Painter,,,http://www.wikidata.org/.well-known/genid/a81a5ec8c39c6aefac911eeb9deb0ac1,,,,,,,,,,,,[],,,,red-figure vase painter,"South Italy, Campania","{Campania:3},{South Italy:3}",,,,,,,,
Giovanni Giuliani,,Habsburg monarchy,male,,,,Venice,Heiligenkreuz,1664.0,1744.0,1702.0,1702.0,,"Austria-Hungary,Vienna",['Vienna:1690-1744'],,,,"plasterer,plastering,sculptor",,,,,,,,,No,
Anne Seymour Damer,,England,female,,,,Sevenoaks,London,1748.0,1828.0,,,,London,[],,,,"sculptor,artist","London, England","{England:4},{London:4}",,,,,,,,
Hadrian Mendoza,,,,,,,,,,,2017.0,2017.0,,,[],,,,researcher,Philippines,{Philippines:3},,,,,,,Yes,
Louise Ochsé,,Belgium,female,,,,Forest,Auschwitz,1884.0,1944.0,,,,,[],,,,"sculptor,artist",France,{France:4},,,,,,,,
Vojtech Ihriský,,Czechoslovakia,male,,,,Krásno nad Kysucou,Bratislava,1899.0,1988.0,1928.0,1928.0,,,[],,,,sculptor,,,,,,,,,No,
Marsyas Painter,,Second Athenian League,http://www.wikidata.org/.well-known/genid/3245b2da8546a41ad3ea8426112ccc8e,,,,Attica,Attica,400.0,301.0,,,,,[],,,,"Attic vase-painter,red-figure vase painter","Greece, Athens","{Athens:3},{Greece:3}",,,,,,,,
Ralph Wood,,,male,,,,,,1715.0,1772.0,1782.0,1795.0,,,[],,,,"ceramicist,potter",,,,,,,,,No,
Carel Lodewijk Dake,,Kingdom of the Netherlands,male,,,,Amsterdam,Amsterdam,1857.0,1918.0,,,,"Amsterdam,City of Brussels","['Amsterdam:1881-1918', 'City of Brussels:1887-1889']",,,,"printmaker,etcher,university teacher,painter","Netherlands, Amsterdam","{Netherlands:6},{Amsterdam:5}",,,,,,,,
Chen Shizeng,,Republic of China (1912–1949),male,,,,Fenghuang County,Nanjing,1876.0,1923.0,1915.0,1915.0,,,[],,,,painter,,,,,,,,,No,
