artist,Nationality,citizenship,gender,styles,movement,Art500k_Movements,birth_place,death_place,birth_year,death_year,FirstYear,LastYear,wikiart_pictures_count,locations,locations_with_years,styles_extended,StylesCount,StylesYears,occupations,PaintingsExhibitedAt,PaintingsExhibitedAtCount,PaintingSchool,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,Contemporary,Type
Daniel Spoerri,"Jewish,Swiss,Romanian",Romania,male,"Neo-Dada, Nouveau Réalisme",Neo-Dada,"{Nouveau réalisme:1},{Contemporary art:1},{Neo-Dada,Nouveau Réalisme:25}",Galați,Vienna,1930.0,2024.0,1960.0,2004.0,25.0,Paris,[],"{Neo-Dada:14},{Nouveau Réalisme:11}","{Neo-Dada:20}, {Nouveau Réalisme:11}, {Conceptual Art:4}","Neo-Dada:1960-2002,Nouveau Réalisme:1961-2004,Conceptual Art:1961-1988","printmaker,performance artist,dancer,director,visual artist,choreographer,university teacher,sculptor,painter,editing staff",,,Fluxus,,,,,,Yes,
Gianfranco Baruchello,Italian,Italy,male,"Neo-Dada, Pop Art",Neo-Dada,"{Conceptual art:1},{Contemporary art:1},{Neo-Dada,Pop Art:13}",Livorno,Rome,1924.0,2023.0,1962.0,2009.0,13.0,"Rome,Paris",[],"{Neo-Dada:10},{Pop Art:3}","{Conceptual Art:2}, {Neo-Dada:11}, {Pop Art:3}","Conceptual Art:1979-1979,Neo-Dada:1963-2009,Pop Art:1962-1988","video artist,drawer,performance artist,film director,painter,poet,writer",,,,,,,,,Yes,
Jim Dine,American,United States,male,"Neo-Dada, Pop Art",Neo-Dada,"{Contemporary art:1},{Neo-Dada,Pop Art:35}",Cincinnati,,1935.0,,1965.0,2001.0,35.0,"New York City,Paris,London,Cincinnati,Boston,New Haven,Oberlin,Ithaca,Athens,Walla Walla",[],"{Neo-Dada:21},{Pop Art:14}","{Pop Art:14}, {Neo-Dada:29}","Pop Art:1965-1985,Neo-Dada:1965-1973","assemblage artist,lithographer,drawer,printmaker,performance artist,designer,visual artist,scenographer,graphic artist,sculptor,painter,illustrator,artist,photographer","London, UK","{London:3},{UK:3}",,"Edward Hopper,",,,,,Yes,
Jimmie Durham,American,United States,male,Neo-Dada,Neo-Dada,{Neo-Dada:19},Houston,Berlin,1940.0,2021.0,1986.0,2009.0,19.0,Germany,[],{Neo-Dada:19},{Neo-Dada:19},Neo-Dada:1986-2009,"video artist,performance artist,visual artist,sculptor,poet,writer,photographer",,,,,,,,,Yes,
John Armleder,Swiss,Switzerland,male,"Neo-Dada, Neo-Geo, Neo-Pop Art, Post-Minimalism, Unknown",Neo-Dada,"{Neo-Dada,Conceptual Art,Neo-Minimalism (Neo-Geo):19}",Geneva,,1948.0,,1979.0,2004.0,19.0,,[],"{Neo-Dada:1},{Neo-Geo:5},{Neo-Pop Art:4},{Post-Minimalism:5},{Unknown:4}","{Neo-Geo:10}, {Neo-Pop Art:4}, {Conceptual Art:1}, {Neo-Dada:2}, {Post-Minimalism:5}","Neo-Geo:1984-2004,Neo-Pop Art:1988-2004,Conceptual Art:2000-2000,Neo-Dada:1979-2000,Post-Minimalism:1979-1997","visual artist,university teacher,sculptor,artist",,,"Fluxus,Groupe Ecart",,,,,,Yes,
Marisol Escobar,"French,Venezuelan",Venezuela,female,Neo-Dada,Neo-Dada,"{Neo-Dada,Pop Art:15}",16th arrondissement of Paris,Manhattan,1930.0,2016.0,1957.0,1984.0,15.0,"New York City,Los Angeles,Paris","['New York City:1950-1950', 'Los Angeles:1946-1946']",{Neo-Dada:15},"{Neo-Dada:15}, {Abstract Expressionism:4}","Neo-Dada:1962-1984,Abstract Expressionism:1970-1973","assemblage artist,drawer,designer,sculptor,painter",,,,,,,,,,
Mark Dion,,United States,male,Neo-Dada,Neo-Dada,,New Bedford,,1961.0,,,,11.0,"New York City,Beach Lake",['New York City:1984-1984'],{Neo-Dada:11},,,"conceptual artist,installation artist,drawer,visual artist,artist",,,,,,,,,,
Nam June Paik,"American,South Korean",South Korea,male,Neo-Dada,Neo-Dada,{Neo-Dada:22},Seoul,Miami,1932.0,2006.0,1963.0,2006.0,22.0,"Germany,New York City,United States",[],{Neo-Dada:22},{Neo-Dada:22},Neo-Dada:1976-2006,"video artist,installation artist,pioneer,multimedia artist,visual artist,university teacher,painter,television producer,composer,photographer","London, Germany, United Kingdom","{London:6},{United Kingdom:6},{Germany:1}",Fluxus,,,,"Karl Otto Gotz,","Joseph Beuys,",Yes,
Adrian Ghenie,,Romania,male,Neo-Expressionism,Neo-Expressionism,,Baia Mare,,1977.0,,,,24.0,"Berlin,Cluj-Napoca",[],{Neo-Expressionism:24},,,"visual artist,painter",,,,,,,,,,
Adriana Varejão,,Brazil,female,"Neo-Expressionism, Postcolonial art",Postcolonial art,,Rio de Janeiro,,1964.0,,,,14.0,'s-Hertogenbosch,"[""'s-Hertogenbosch:2008-2008""]","{Neo-Expressionism:3},{Postcolonial art:11}",,,"drawer,visual artist,sculptor,painter",,,,,,,,,,
