artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years,birth_date,death_date
Joseph Lorusso,Contemporary Realism,Contemporary Realism,{Contemporary Realism:18},18,,,,,,,,,,,
Kent Bellows,"Contemporary Realism, Photorealism",Contemporary Realism,"{Contemporary Realism:6},{Photorealism:4}",10,Blair,1949.0,2005.0,,male,United States,painter,,[],1949.0,2005.0
Kexin Di,"Contemporary Realism, Kitsch",Kitsch,"{Contemporary Realism:10},{Kitsch:10}",20,,,,,,,,,,,
Lucian Freud,"Contemporary Realism, Expressionism, Surrealism",Expressionism,"{Contemporary Realism:15},{Expressionism:242},{Surrealism:24}",281,Berlin,1922.0,2011.0,London,male,Germany,"portraitist,drawer,architectural draftsperson,printmaker,graphic artist,painter,illustrator,artist","Paris,The Hague,Liverpool,Dedham,London",[],1922.0,2011.0
Marlene Dumas,"Contemporary Realism, Neo-Expressionism",Neo-Expressionism,"{Contemporary Realism:2},{Neo-Expressionism:25}",27,Cape Town,1953.0,,,female,Kingdom of the Netherlands,"collagist,conceptual artist,lithographer,drawer,architectural draftsperson,visual artist,painter,artist","Haarlem,Amsterdam,Cape Town",[],1953.0,
Martin Yeoman,Contemporary Realism,Contemporary Realism,{Contemporary Realism:25},25,Surrey,1953.0,,,male,United Kingdom,painter,,[],1953.0,
Mihai Sârbulescu,"Contemporary Realism, Expressionism",Expressionism,"{Contemporary Realism:4},{Expressionism:8}",12,Bucharest,1957.0,,,male,Romania,"painter,professor,writer",,[],1957.0,
Morteza Katouzian,"Contemporary Realism, Realism, Surrealism",Contemporary Realism,"{Contemporary Realism:13},{Realism:39},{Surrealism:2}",54,Iran,1943.0,,,male,Iran,painter,,[],1943.0,
Nelson Shanks,"Contemporary Realism, Kitsch",Classical Realism,"{Contemporary Realism:8},{Kitsch:2}",10,Rochester,1937.0,2015.0,Andalusia,male,United States,painter,,[],1937.0,2015.0
Neo Rauch,"Contemporary Realism, Neo-Pop Art, Social Realism",Social Realism,"{Contemporary Realism:2},{Neo-Pop Art:8},{Social Realism:8}",18,Leipzig,1960.0,,,male,Germany,"drawer,university teacher,painter,photojournalist",Leipzig,[],1960.0,
Norman Ackroyd,Contemporary Realism,Contemporary Realism,{Contemporary Realism:16},16,Leeds,1938.0,,Bermondsey,male,United Kingdom,"printmaker,etcher,painter",,[],1938.0,2024.0
