artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Viorel Marginean,"Expressionism, Naïve Art (Primitivism), Neo-Figurative Art, Post-Impressionism",Contemporary,"{Expressionism:28},{Naïve Art (Primitivism):15},{Neo-Figurative Art:1},{Post-Impressionism:2}",46,,,,,,,,,
Vlady,"Expressionism, Muralism, Surrealism",Expressionism,"{Expressionism:9},{Muralism:1},{Surrealism:9}",19,Saint Petersburg,1920.0,2005.0,Cuernavaca,male,Russia,painter,,[]
Vytautas Kasiulis,Expressionism,Expressionism,{Expressionism:9},9,Simnas,1918.0,1995.0,Paris,male,Lithuania,"painter,teacher",,[]
Walter Gramatté,Expressionism,Expressionism,{Expressionism:68},68,Berlin,1897.0,1929.0,Hamburg,male,Germany,"lithographer,printmaker,graphic artist,painter",,[]
Wayne Thiebaud,"Expressionism, New Realism, Pop Art",Pop Art,"{Expressionism:8},{New Realism:5},{Pop Art:44}",57,Mesa,1920.0,2021.0,Sacramento,male,United States,"printmaker,visual artist,muralist,university teacher,sculptor,cartoonist,painter,illustrator","Sacramento,Los Angeles,San Francisco,San Jose",[]
Werner Berg,"Expressionism, Surrealism",Expressionism,"{Expressionism:73},{Surrealism:1}",74,Elberfeld,1904.0,1981.0,Gallizien,male,Germany,painter,Gallizien,[]
Werner Peiner,"Expressionism, Neoclassicism, New Medievialism, Unknown",Expressionism,"{Expressionism:12},{Neoclassicism:1},{New Medievialism:9},{Unknown:7}",29,Düsseldorf,1897.0,1984.0,Leichlingen,male,Germany,"university teacher,painter",Leichlingen,[]
Will Barnet,"Expressionism, Indian Space painting, Pop Art, Social Realism",Abstract Expressionism,"{Expressionism:8},{Indian Space painting:53},{Pop Art:103},{Social Realism:17}",181,Beverly,1911.0,2012.0,New York City,male,United States,"printmaker,painter",Ethiopia,[]
Wolf Kahn,"Expressionism, Figurative Expressionism",Expressionism,"{Expressionism:1},{Figurative Expressionism:20}",21,Stuttgart,1927.0,2020.0,,male,United States,"drawer,painter,photographer",New York City,['New York City:1941-1941']
Xu Beihong,"Expressionism, Ink and wash painting, Post-Impressionism, Realism, Romanticism, Unknown",Republic of China (1912–1949),"{Expressionism:5},{Ink and wash painting:61},{Post-Impressionism:15},{Realism:10},{Romanticism:5},{Unknown:1}",97,Yixing,1895.0,1953.0,Beijing,male,Qing dynasty,"painter,teacher",,[]
Xul Solar,"Expressionism, Surrealism, Unknown",Surrealism,"{Expressionism:15},{Surrealism:37},{Unknown:9}",61,San Fernando,1887.0,1963.0,Tigre,male,Argentina,"sculptor,painter,astrologer,writer","Zoagli,Stuttgart,Munich,Paris,Milan,Buenos Aires,London,Florence,Turin,Kelheim",[]
Zani Corrado,"Expressionism, Figurative Expressionism",Existential Art,"{Expressionism:10},{Figurative Expressionism:9}",19,Italy,1952.0,,,male,Italy,painter,,[]
Émilie Charmy,"Expressionism, Fauvism, Post-Impressionism",Post-Impressionism,"{Expressionism:32},{Fauvism:4},{Post-Impressionism:3}",39,Saint-Étienne,1878.0,1974.0,Crosne,female,France,painter,,[]
Abdul Mati Klarwein,"Fantastic Realism, Magic Realism, Metaphysical art, Photorealism, Surrealism",Magic Realism,"{Fantastic Realism:22},{Magic Realism:49},{Metaphysical art:1},{Photorealism:2},{Surrealism:3}",77,Hamburg,1932.0,2002.0,Deià,male,Germany,"designer,painter",,[]
Ernst Fuchs,"Fantastic Realism, Unknown",Surrealism,"{Fantastic Realism:66},{Unknown:1}",67,Vienna,1930.0,2015.0,Vienna,male,Austria,university teacher,,[]
Frank Frazetta,"Fantastic Realism, Fantasy Art, Kitsch",Kitsch,"{Fantastic Realism:2},{Fantasy Art:7},{Kitsch:11}",20,Brooklyn,1928.0,2010.0,Fort Myers,male,United States,"cover artist,sculptor,painter,comics artist,illustrator,screenwriter",United States,[]
H.R. Giger,Fantastic Realism,Surrealism,{Fantastic Realism:13},13,,,,,,,,,
Jahar Dasgupta,"Fantastic Realism, Unknown",Contemporary,"{Fantastic Realism:21},{Unknown:5}",26,Jamshedpur,1942.0,,,male,Dominion of India,painter,,[]
Paul Wunderlich,"Fantastic Realism, Surrealism",Surrealism,"{Fantastic Realism:22},{Surrealism:18}",40,Eberswalde,1927.0,2010.0,Carpentras,male,Germany,"lithographer,drawer,printmaker,visual artist,graphic artist,university teacher,sculptor,painter,illustrator",Hamburg,[]
Sorin Dumitrescu,"Fantastic Realism, Surrealism",Neo-Orthodoxism,"{Fantastic Realism:10},{Surrealism:20}",30,Bucharest,1946.0,2024.0,Bucharest,male,Romania,,,[]
Valeria Trubina,"Fantastic Realism, Hyper-Realism, Magic Realism, Naïve Art (Primitivism), Neo-Expressionism, Neoclassicism, Transavantgarde",Neo-Expressionism,"{Fantastic Realism:4},{Hyper-Realism:9},{Magic Realism:6},{Naïve Art (Primitivism):12},{Neo-Expressionism:17},{Neoclassicism:2},{Transavantgarde:8}",58,,,,,,,,,
Wojciech Siudmak,Fantastic Realism,Surrealism,{Fantastic Realism:162},162,Wieluń,1942.0,,,male,France,painter,France,[]
Alan Lee,Fantasy Art,Fantasy Art,{Fantasy Art:15},15,,,,,male,,"academic,researcher,university teacher,visual artist,painter,illustrator,artist,psychiatrist,actor,association football player,cricket writer,jazz guitarist,conductor,politician,statistician,mathematician,botanical collector,park ranger",,[]
Brian Froud,Fantasy Art,Fantasy Art,{Fantasy Art:12},12,Winchester,1947.0,,,male,United Kingdom,"film actor,costume designer,painter,illustrator,voice actor,actor",,[]
Victo Ngai,"Fantasy Art, Surrealism",Fantasy Art,"{Fantasy Art:11},{Surrealism:1}",12,Guangdong,1988.0,,,female,,illustrator,,[]
Albert Marquet,"Fauvism, Post-Impressionism, Unknown",Post-Impressionism,"{Fauvism:6},{Post-Impressionism:40},{Unknown:1}",47,Bordeaux,1875.0,1947.0,Paris,male,France,"drawer,visual artist,painter,artist",,[]
Alexandru Ciucurencu,"Fauvism, Post-Impressionism, Socialist Realism",Post-Impressionism,"{Fauvism:27},{Post-Impressionism:16},{Socialist Realism:3}",46,Tulcea,1903.0,1977.0,Bucharest,male,Romania,painter,,[]
Armand Guillaumin,"Fauvism, Impressionism",Impressionism,"{Fauvism:7},{Impressionism:52}",59,Amsterdam,1929.0,2018.0,Potsdam,male,Kingdom of the Netherlands,"drawer,painter","Amsterdam,'s-Hertogenbosch","[""'s-Hertogenbosch:1992-1992""]"
Carlos Nadal,Fauvism,Post-Impressionism,{Fauvism:10},10,Paris,1917.0,1998.0,,male,France,"visual artist,painter",,[]
