artist,styles,movement,styles_extended,pictures_count,birth_place,birth_year,death_year,death_place,gender,citizenship,occupations,locations,locations_with_years
Raoul Ubac,"Abstract Expressionism, Surrealism, Unknown",Surrealism,"{Abstract Expressionism:26},{Surrealism:15},{Unknown:1}",42,Malmedy,1910.0,1985.0,Dieudonné,male,France,"lithographer,graphic artist,sculptor,painter,illustrator,photographer",Paris,['Paris:1929-1962']
Reuben Nakian,"Abstract Expressionism, Expressionism, Neo-baroque",Expressionism,"{Abstract Expressionism:3},{Expressionism:22},{Neo-baroque:1}",26,College Point,1897.0,1986.0,Stamford,male,United States,"sculptor,illustrator,teacher",New York City,[]
Richard Diebenkorn,"Abstract Expressionism, Color Field Painting, Expressionism, New Realism",Abstract Expressionism,"{Abstract Expressionism:36},{Color Field Painting:17},{Expressionism:38},{New Realism:1}",92,Portland,1922.0,1993.0,Berkeley,male,United States,"printmaker,painter,illustrator,photographer","Sausalito,Santa Monica,Stanford,Healdsburg,Urbana,Albuquerque,Berkeley,San Francisco,Woodstock",[]
Richard Hambleton,"Abstract Expressionism, Conceptual Art, Expressionism, Street art",Street art,"{Abstract Expressionism:9},{Conceptual Art:4},{Expressionism:2},{Street art:14}",29,Vancouver,1952.0,2017.0,Manhattan,male,United States,"graffiti artist,painter",,[]
Richard Smith,"Abstract Expressionism, Hard Edge Painting, Pop Art, Post-Minimalism",Post-Painterly Abstraction,"{Abstract Expressionism:1},{Hard Edge Painting:2},{Pop Art:6},{Post-Minimalism:11}",20,,,,,male,,,,[]
Richard Tuttle,"Abstract Expressionism, Hard Edge Painting, Minimalism",Minimalism,"{Abstract Expressionism:4},{Hard Edge Painting:1},{Minimalism:40}",45,Rahway,1941.0,,,male,United States,"installation artist,drawer,architectural draftsperson,visual artist,sculptor,painter,illustrator,artist","Abiquiú,New York City,Mount Desert",[]
Richards Ruben,Abstract Expressionism,Abstract Expressionism,{Abstract Expressionism:18},18,Los Angeles,1927.0,1998.0,Venice,male,United States,"printmaker,painter",New York City,[]
Robert Goodnough,"Abstract Expressionism, Color Field Painting, Post-Painterly Abstraction",Abstract Art,"{Abstract Expressionism:40},{Color Field Painting:1},{Post-Painterly Abstraction:57}",98,Cortland,1917.0,2010.0,White Plains,male,United States,"drawer,painter,researcher",,[]
Robert Huot,"Abstract Expressionism, Minimalism, Post-Painterly Abstraction",Post-Painterly Abstraction,"{Abstract Expressionism:2},{Minimalism:12},{Post-Painterly Abstraction:5}",19,,1935.0,,,male,United States,painter,New York City,[]
Robert Motherwell,"Abstract Expressionism, Lyrical Abstraction, Post-Painterly Abstraction",Abstract Expressionism,"{Abstract Expressionism:30},{Lyrical Abstraction:17},{Post-Painterly Abstraction:3}",50,Aberdeen,1915.0,1991.0,Provincetown,male,United States,"collagist,printmaker,designer,graphic artist,painter,artist","Eugene,Stanford,Provincetown,Boston,Los Angeles,New York City,Asheville",[]
Robert Nickle,Abstract Expressionism,Abstract Expressionism,{Abstract Expressionism:13},13,Saginaw,1919.0,1980.0,,male,United States,military leader,,[]
Robert Rauschenberg,"Abstract Expressionism, Conceptual Art, Minimalism, Neo-Dada, Pop Art",Neo-Dada,"{Abstract Expressionism:3},{Conceptual Art:1},{Minimalism:4},{Neo-Dada:128},{Pop Art:20}",156,Port Arthur,1925.0,2008.0,Captiva,male,Germany,"assemblage artist,collagist,architectural draftsperson,printmaker,performance artist,designer,visual artist,jewelry designer,choreographer,graphic artist,sculptor,painter,artist,photographer","Kansas City,Chile,Black Mountain,New York City,Captiva,People's Republic of China,Paris",[]
Roberto Matta,"Abstract Expressionism, Surrealism",Surrealism,"{Abstract Expressionism:2},{Surrealism:22}",24,Santiago,1911.0,2002.0,Civitavecchia,male,Chile,"lithographer,printmaker,designer,visual artist,graphic artist,sculptor,painter,architect","Rome,New York City,Santiago,Paris",[]
Rodolfo Arico,"Abstract Expressionism, Minimalism, Spatialism",Post-Painterly Abstraction,"{Abstract Expressionism:9},{Minimalism:18},{Spatialism:4}",31,Milan,1930.0,2002.0,Milan,male,Kingdom of Italy,painter,,[]
Romare Bearden,"Abstract Expressionism, Cubism, Neo-Expressionism, Outsider art, Pop Art, Social Realism",Harlem Renaissance (New Negro Movement),"{Abstract Expressionism:5},{Cubism:3},{Neo-Expressionism:8},{Outsider art:14},{Pop Art:4},{Social Realism:7}",41,Charlotte,1911.0,1988.0,New York City,male,United States,"collagist,drawer,printmaker,painter,musician,writer","Paris,New York City",[]
Ronald Davis,"Abstract Expressionism, Hard Edge Painting, Op Art",Post-Painterly Abstraction,"{Abstract Expressionism:2},{Hard Edge Painting:6},{Op Art:9}",17,Santa Monica,1937.0,,,male,United States,"university teacher,printmaker,painter,artist",Stanford,[]
Ronnie Landfield,"Abstract Expressionism, Color Field Painting, Fauvism, Hard Edge Painting, Lyrical Abstraction, Minimalism, Post-Impressionism",Abstract Expressionism,"{Abstract Expressionism:27},{Color Field Painting:22},{Fauvism:2},{Hard Edge Painting:3},{Lyrical Abstraction:87},{Minimalism:6},{Post-Impressionism:3}",150,The Bronx,1947.0,,,male,United States,"printmaker,painter",,[]
Rosemarie Beck,"Abstract Expressionism, Expressionism, Figurative Expressionism",Expressionism,"{Abstract Expressionism:1},{Expressionism:1},{Figurative Expressionism:11}",13,Westchester County,1923.0,2003.0,New York City,female,United States,artist,,[]
Sam Gilliam,"Abstract Expressionism, Color Field Painting, Lyrical Abstraction",Abstract Expressionism,"{Abstract Expressionism:28},{Color Field Painting:8},{Lyrical Abstraction:39}",75,Tupelo,1933.0,2022.0,"Washington, D.C.",male,United States,"drawer,printmaker,sculptor,painter","Louisville,Washington, D.C.",[]
Samia Halaby,"Abstract Expressionism, Op Art, Pop Art, Post-Painterly Abstraction",Abstract Expressionism,"{Abstract Expressionism:2},{Op Art:3},{Pop Art:1},{Post-Painterly Abstraction:7}",13,Jerusalem,1936.0,,,female,State of Palestine,"university teacher,artist",,[]
Sherrie Levine,"Abstract Expressionism, Conceptual Art, Post-Minimalism",Conceptual Art,"{Abstract Expressionism:2},{Conceptual Art:5},{Post-Minimalism:4}",11,Hazleton,1947.0,,,female,United States,"collagist,conceptual artist,drawer,visual artist,sculptor,painter,artist,photographer","Berkeley,Madison,New York City",[]
Sohrab Sepehri,"Abstract Expressionism, Neo-Expressionism",Neo-Expressionism,"{Abstract Expressionism:11},{Neo-Expressionism:21}",32,Kashan,1928.0,1980.0,Tehran,male,Interim Government of Iran,"painter,poet,writer",,[]
Sonya Rapoport,"Abstract Expressionism, Conceptual Art, Cyber Art, P&D (Pattern and Decoration)",CyberArt,"{Abstract Expressionism:1},{Conceptual Art:2},{Cyber Art:9},{P&D (Pattern and Decoration):1}",13,Boston,1923.0,2015.0,Berkeley,female,United States,"video artist,artist",,[]
Stephen Mueller,"Abstract Expressionism, Lyrical Abstraction",Abstract Expressionism,"{Abstract Expressionism:8},{Lyrical Abstraction:2}",10,Norfolk,1947.0,2011.0,New York City,male,United States,painter,,[]
Taro Yamamoto,"Abstract Expressionism, Pop Art",Abstract Expressionism,"{Abstract Expressionism:13},{Pop Art:2}",15,Takarazuka,1974.0,,,male,Japan,poet,,[]
Terry Frost,"Abstract Expressionism, Hard Edge Painting",Abstract Art,"{Abstract Expressionism:30},{Hard Edge Painting:5}",35,Royal Leamington Spa,1915.0,2003.0,Hayle,male,United Kingdom,"painter,artist,television actor,actor",,[]
Theodoros Stamos,"Abstract Expressionism, Color Field Painting, Unknown",Abstract Expressionism,"{Abstract Expressionism:39},{Color Field Painting:60},{Unknown:2}",101,New York City,1922.0,1997.0,Ioannina,male,Greece,"designer,painter",,[]
Toko Shinoda,Abstract Expressionism,Abstract Art,{Abstract Expressionism:26},26,Dalian,1913.0,2021.0,Ome,female,Empire of Japan,"lithographer,essayist,painter,engraver",,[]
Tove Jansson,"Abstract Expressionism, Cubism, Expressionism, Post-Impressionism",Modernism,"{Abstract Expressionism:5},{Cubism:2},{Expressionism:12},{Post-Impressionism:8}",27,Helsinki,1914.0,2001.0,Helsinki,female,Finland,"children's writer,caricaturist,cartoonist,painter,illustrator,writer",Helsinki,[]
Tsuruko Yamazaki,"Abstract Expressionism, Conceptual Art, Pop Art",Abstract Expressionism,"{Abstract Expressionism:8},{Conceptual Art:4},{Pop Art:8}",20,Ashiya,1925.0,2019.0,,female,Empire of Japan,painter,,[]
Ulfert Wilke,Abstract Expressionism,Abstract Art,{Abstract Expressionism:11},11,Bad Tölz,1907.0,1987.0,Anahola,male,United States,"art collector,painter",,[]
Vahram Gayfedjian,"Abstract Expressionism, Post-Impressionism",Post-Impressionism,"{Abstract Expressionism:1},{Post-Impressionism:1}",2,Georgia,1879.0,,Yerevan,male,,painter,,[]
Vasile Dobrian,"Abstract Expressionism, Cubism, Expressionism, Hard Edge Painting, Post-Impressionism, Social Realism",Social Realism,"{Abstract Expressionism:15},{Cubism:4},{Expressionism:5},{Hard Edge Painting:34},{Post-Impressionism:2},{Social Realism:10}",70,Rod,1912.0,1999.0,Bucharest,male,Romania,"graphic artist,painter",,[]
Victor Zaretsky,"Abstract Expressionism, Art Nouveau (Modern), Cubism, Expressionism, Fauvism, Realism, Socialist Realism",Socialist Realism,"{Abstract Expressionism:4},{Art Nouveau (Modern):34},{Cubism:1},{Expressionism:30},{Fauvism:1},{Realism:10},{Socialist Realism:19}",99,,,,,,,,,
Vilen Barsky,"Abstract Expressionism, Art Brut, Socialist Realism, Unknown",Soviet Nonconformist Art,"{Abstract Expressionism:37},{Art Brut:78},{Socialist Realism:5},{Unknown:13}",133,,,,,,,,,
Walasse Ting,"Abstract Expressionism, Naïve Art (Primitivism), Pop Art",Abstract Expressionism,"{Abstract Expressionism:10},{Naïve Art (Primitivism):4},{Pop Art:56}",70,Wuxi,1929.0,2010.0,New York City,male,Republic of China (1912–1949),"graphic artist,painter,illustrator,poet,writer","New York City,Amsterdam,Paris",[]
Warren Rohrer,"Abstract Expressionism, Color Field Painting, Lyrical Abstraction, Minimalism, Unknown",Minimalism,"{Abstract Expressionism:4},{Color Field Painting:1},{Lyrical Abstraction:1},{Minimalism:29},{Unknown:1}",36,,1927.0,1995.0,,male,United States,painter,,[]
William Baziotes,"Abstract Expressionism, Surrealism",Surrealism,"{Abstract Expressionism:29},{Surrealism:5}",34,Pittsburgh,1912.0,1963.0,New York City,male,United States,"drawer,painter",,[]
William Congdon,Abstract Expressionism,Abstract Expressionism,{Abstract Expressionism:15},15,Providence,1912.0,1998.0,Milan,male,United States,naval officer,,[]
William Saroyan,Abstract Expressionism,Abstract Expressionism,{Abstract Expressionism:12},12,Fresno,1908.0,1981.0,Fresno,male,United States,"novelist,songwriter,playwright,poet,writer,screenwriter",,[]
William Scott,"Abstract Expressionism, Expressionism",Abstract Expressionism,"{Abstract Expressionism:26},{Expressionism:15}",41,Greenock,1913.0,1989.0,Bath,male,United Kingdom of Great Britain and Ireland,"drawer,painter","Bath,London,Scotland",[]
William Tucker,"Abstract Expressionism, Post-Minimalism",New Generation Sculpture,"{Abstract Expressionism:2},{Post-Minimalism:13}",15,,,,,male,,,,[]
William Turnbull,"Abstract Expressionism, Color Field Painting, Kinetic Art, Minimalism",Abstract Expressionism,"{Abstract Expressionism:14},{Color Field Painting:3},{Kinetic Art:2},{Minimalism:9}",28,,1922.0,2012.0,,male,,"painter,artist",Britain,[]
Yayoi Kusama,"Abstract Expressionism, Art Brut, Conceptual Art, Feminist Art, Minimalism, Pop Art",Feminist Art,"{Abstract Expressionism:1},{Art Brut:2},{Conceptual Art:1},{Feminist Art:1},{Minimalism:7},{Pop Art:15}",27,Matsumoto,1929.0,,,female,Japan,"collagist,conceptual artist,video artist,installation artist,drawer,architectural draftsperson,performance artist,novelist,fashion designer,visual artist,sculptor,painter,writer,photographer","Netherlands,Kyoto,New York City,Tokyo,United States","['Netherlands:1967-1967', 'Tokyo:2000-2015', 'United States:1960-1975']"
Achille Beltrame,"Academicism, Art Nouveau (Modern)",Art Nouveau,"{Academicism:2},{Art Nouveau (Modern):59}",61,Arzignano,1871.0,1945.0,Milan,male,Kingdom of Italy,painter,Milan,[]
Achille Zo,"Academicism, Orientalism, Romanticism",Academic Art,"{Academicism:8},{Orientalism:3},{Romanticism:4}",15,Saint-Esprit,1826.0,1901.0,Bordeaux,male,France,painter,,[]
Adalbert Schaffer,Academicism,Academic Art,{Academicism:12},12,Carei,1815.0,1871.0,Düsseldorf,male,Hungary,painter,,[]
Adolf Hirémy-Hirschl,"Academicism, Realism, Symbolism",Symbolism,"{Academicism:1},{Realism:17},{Symbolism:14}",32,Timișoara,1860.0,1933.0,Rome,male,Austria,painter,Rome,[]
Adolphe Yvon,"Academicism, Orientalism, Romanticism",Romanticism,"{Academicism:2},{Orientalism:1},{Romanticism:19}",22,Eschviller,1817.0,1893.0,16th arrondissement of Paris,male,France,"professeur des universités,portraitist,drawing teacher,painter",Paris,[]
Albert Aublet,"Academicism, Impressionism, Orientalism",Academic Art,"{Academicism:3},{Impressionism:8},{Orientalism:1}",12,former 5th arrondissement of Paris,1851.0,1938.0,Neuilly-sur-Seine,male,France,painter,,[]
Albert Edelfelt,"Academicism, Realism",Realism,"{Academicism:1},{Realism:82}",83,Kiala manor,1854.0,1905.0,Haiko,male,Grand Principality of Finland,"graphic artist,painter,illustrator","Paris,Haikko Manor,Helsinki",[]
Albert Joseph Moore,Academicism,Academic Art,{Academicism:43},43,York,1841.0,1893.0,City of Westminster,male,United Kingdom of Great Britain and Ireland,"drawer,painter,illustrator",London,[]
Albert Maignan,"Academicism, Art Nouveau (Modern)",Academic Art,"{Academicism:11},{Art Nouveau (Modern):8}",19,Beaumont-sur-Sarthe,1845.0,1908.0,Saint-Prix,male,France,painter,,[]
Albrecht Anker,"Academicism, American Realism, Art Nouveau (Modern), Biedermeier, Realism",Realism,"{Academicism:3},{American Realism:1},{Art Nouveau (Modern):4},{Biedermeier:44},{Realism:60}",112,Ins,1831.0,1910.0,Ins,male,Switzerland,"pottery painter,painter,illustrator",,[]
Alexander Ivanov,"Academicism, Romanticism",Academic Art,"{Academicism:63},{Romanticism:24}",87,,,,,male,,researcher,,[]
Alexandre Antigna,"Academicism, Naturalism, Realism",Realism,"{Academicism:3},{Naturalism:40},{Realism:21}",64,Orléans,1817.0,1878.0,Paris,male,France,painter,,[]
Alexandre Cabanel,"Academicism, Orientalism, Unknown",Academic Art,"{Academicism:71},{Orientalism:3},{Unknown:2}",76,Montpellier,1823.0,1889.0,Paris,male,France,"university teacher,painter",Paris,[]
Alexandre-Jacques Chantron,"Academicism, Impressionism",Academic Art,"{Academicism:10},{Impressionism:1}",11,Nantes,1842.0,1918.0,Nantes,male,France,"painter,photographer",,[]
Anders Zorn,"Academicism, Art Nouveau (Modern), Impressionism, Orientalism, Realism, Unknown",Realism,"{Academicism:1},{Art Nouveau (Modern):10},{Impressionism:37},{Orientalism:3},{Realism:92},{Unknown:2}",145,Mora Parish,1860.0,1920.0,Mora Parish,male,Sweden,"watercolorist,printmaker,graphic artist,sculptor,painter,engraver,photographer","London,Constantinople,Chicago,Q2807,Paris,United States,St Ives","['Paris:1888-1888', 'United States:1893-1911']"
Antonio Cabral Bejarano,"Academicism, Costumbrismo",Romanticism,"{Academicism:2},{Costumbrismo:12}",14,Seville,1798.0,1861.0,Seville,male,Spain,painter,,[]
Antonio Ciseri,"Academicism, Romanticism",Romanticism,"{Academicism:8},{Romanticism:12}",20,Ronco sopra Ascona,1821.0,1891.0,Florence,male,Kingdom of Italy,"university teacher,painter",Florence,[]
Armando Montaner Valdueza,"Academicism, Impressionism, Realism",Realism,"{Academicism:2},{Impressionism:5},{Realism:15}",22,,1871.0,1960.0,,male,,,,[]
Arturo Michelena,"Academicism, Impressionism, Orientalism, Romanticism",Romanticism,"{Academicism:1},{Impressionism:1},{Orientalism:2},{Romanticism:28}",32,Valencia,1863.0,1898.0,Caracas,male,Venezuela,painter,,[]
August von Pettenkofen,"Academicism, Biedermeier, Realism",Realism,"{Academicism:1},{Biedermeier:7},{Realism:110}",118,Vienna,1822.0,1889.0,Vienna,male,Austrian Empire,"landscape painter,portraitist,painter","Paris,Vienna",['Vienna:1837-1889']
Auguste Toulmouche,Academicism,Academic Art,{Academicism:31},31,Nantes,1829.0,1890.0,9th arrondissement of Paris,male,France,"genre painter,painter",Paris,[]
Bertalan Szekely,"Academicism, Realism, Romanticism, Unknown",Romanticism,"{Academicism:2},{Realism:1},{Romanticism:9},{Unknown:1}",13,Cluj-Napoca,1835.0,1910.0,Cinkota,male,Austrian Empire,"history painter,painter","Mátyásföld,Pest",[]
Briton Riviere,"Academicism, Realism",Academic Art,"{Academicism:25},{Realism:24}",49,London,1840.0,1920.0,London,male,United Kingdom of Great Britain and Ireland,painter,,[]
Carl Bloch,"Academicism, Realism, Unknown",Academic Art,"{Academicism:33},{Realism:46},{Unknown:1}",80,Copenhagen,1834.0,1890.0,Copenhagen,male,Kingdom of Denmark,"graphic artist,painter",Copenhagen,[]
Charles Gleyre,"Academicism, Neoclassicism, Orientalism, Romanticism",Romanticism,"{Academicism:34},{Neoclassicism:1},{Orientalism:1},{Romanticism:15}",51,Chevilly,1806.0,1874.0,Palais Bourbon,male,France,painter,Paris,[]
Charles Martin Powell,Academicism,Academic Art,{Academicism:16},16,Chichester,,1824.0,http://www.wikidata.org/.well-known/genid/58060b1eebb3a7b5dd6d8c6311695296,male,United Kingdom of Great Britain and Ireland,painter,"Netherlands,London",['Netherlands:1790-1815']
Charles Sprague Pearce,"Academicism, Divisionism, Impressionism, Japonism, Orientalism",Academic Art,"{Academicism:8},{Divisionism:1},{Impressionism:17},{Japonism:3},{Orientalism:3}",32,Boston,1851.0,1914.0,Auvers-sur-Oise,male,United States,painter,"United States,Paris,Khedivate of Egypt,French Algeria,Auvers-sur-Oise","['United States:1873-1873', 'Paris:1873-1884', 'Khedivate of Egypt:1873-1873', 'French Algeria:1874-1874', 'Auvers-sur-Oise:1884-1914']"
Charles Victor Thirion,"Academicism, Naturalism",Academic Art,"{Academicism:14},{Naturalism:8}",22,,1833.0,1878.0,Paris,male,France,"painter,engraver",Paris,[]
Charles-Amable Lenoir,"Academicism, Unknown",Academic Art,"{Academicism:1},{Unknown:8}",9,Châtelaillon-Plage,1860.0,1926.0,Paris,male,France,painter,,[]
Charles-Philippe Lariviere,Academicism,Academic Art,{Academicism:33},33,Paris,1798.0,1876.0,Paris,male,France,"drawer,painter",France,[]
Christian Wilhelm Allers,"Academicism, Realism",Naturalism,"{Academicism:1},{Realism:21}",22,Hamburg,1857.0,1915.0,Karlsruhe,male,German Empire,"lithographer,drawer,visual artist,painter,illustrator","Karlsruhe,Capri,Hamburg",['Capri:1890-1902']
Christina Robertson,"Academicism, Classicism, Unknown",Academic Art,"{Academicism:32},{Classicism:2},{Unknown:7}",41,Kinghorn,1796.0,1854.0,Saint Petersburg,female,United Kingdom,"editor,painter",Saint Petersburg,['Saint Petersburg:1847-1854']
Claude Monet,"Academicism, Impressionism, Japonism, Realism, Unknown",Impressionism,"{Academicism:1},{Impressionism:1341},{Japonism:1},{Realism:12},{Unknown:12}",1367,Paris,1840.0,1926.0,Giverny,male,France,"graphic artist,painter","The Hague,Oegstgeest,Amsterdam,Honfleur,Giverny,Argenteuil,Vétheuil,Paris,Zaandam,London,Poissy,Trouville,Sassenheim",[]
Domenico Induno,"Academicism, Romanticism, Unknown",Romanticism,"{Academicism:13},{Romanticism:28},{Unknown:1}",42,Milan,1815.0,1878.0,Milan,male,Kingdom of Lombardy–Venetia,painter,,[]
Edouard Debat-Ponsan,Academicism,Academic Art,{Academicism:15},15,Toulouse,1847.0,1913.0,Paris,male,France,painter,,[]
Edward Poynter,"Academicism, Romanticism, Unknown",Academic Art,"{Academicism:30},{Romanticism:10},{Unknown:4}",44,Paris,1836.0,1919.0,London,male,United Kingdom of Great Britain and Ireland,"art historian,university teacher,painter,artist",,[]
Emmanuel Zairis,"Academicism, Impressionism, Post-Impressionism, Social Realism",Impressionism,"{Academicism:1},{Impressionism:10},{Post-Impressionism:7},{Social Realism:1}",19,Bodrum,1876.0,1948.0,Mykonos,male,Greece,"painter,artist",,[]
Ernest Hébert,"Academicism, Orientalism, Romanticism",Romanticism,"{Academicism:9},{Orientalism:1},{Romanticism:50}",60,Grenoble,1817.0,1908.0,La Tronche,male,France,painter,France,[]
Ernest Meissonier,"Academicism, Realism, Unknown",Academic Art,"{Academicism:45},{Realism:18},{Unknown:1}",64,Lyon,1815.0,1891.0,Paris,male,France,"sculptor,painter,illustrator,politician","Paris,Rome,Netherlands",['Rome:1834-1834']
Ettore Tito,"Academicism, Orientalism, Realism, Symbolism, Unknown",Academic Art,"{Academicism:5},{Orientalism:1},{Realism:22},{Symbolism:6},{Unknown:1}",35,Castellammare di Stabia,1859.0,1941.0,Venice,male,Kingdom of Italy,"sculptor,painter,illustrator,composer","Venice,Rome,London",['London:1897-1898']
Eugene Bidau,Academicism,Academic Art,{Academicism:9},9,La Roche-sur-Yon,1839.0,1899.0,,male,France,painter,,[]
Eugene de Blaas,"Academicism, Unknown",Academic Art,"{Academicism:96},{Unknown:1}",97,Albano Laziale,1843.0,1931.0,Venice,male,Kingdom of Italy,painter,"Paris,Rome,Belgium,Venice,Netherlands",[]
Francesc Masriera,"Academicism, Art Nouveau (Modern), Impressionism, Orientalism, Romanticism",Art Nouveau,"{Academicism:8},{Art Nouveau (Modern):4},{Impressionism:1},{Orientalism:2},{Romanticism:3}",18,Barcelona,1842.0,1902.0,Barcelona,male,Spain,"painter,jeweler,goldsmith",,[]
Francesco Beda,"Academicism, Orientalism",Orientalism,"{Academicism:6},{Orientalism:2}",8,Trieste,1840.0,1900.0,Trieste,male,Cisleithania,painter,,[]
Francesco Hayez,"Academicism, Orientalism, Romanticism, Unknown",Romanticism,"{Academicism:7},{Orientalism:7},{Romanticism:118},{Unknown:4}",136,Venice,1791.0,1882.0,Milan,male,Kingdom of Italy,"lithographer,graphic artist,painter,engraver,photographer",,[]
Francis Davis Millet,"Academicism, American Realism, Orientalism",Academic Art,"{Academicism:11},{American Realism:28},{Orientalism:4}",43,Mattapoisett,1848.0,1912.0,North Atlantic Ocean,male,United States,"designer,military physician,journalist,sculptor,painter,writer",,[]
Frederic Leighton,"Academicism, Orientalism, Unknown",Academic Art,"{Academicism:105},{Orientalism:2},{Unknown:1}",108,Scarborough,1830.0,1896.0,London,male,United Kingdom of Great Britain and Ireland,"drawer,sculptor,painter,artist,politician","City of Brussels,Constantinople,Aswan,Paris,Rome,Algiers,London,Frankfurt,Damascus",[]
Frederick McCubbin,"Academicism, Impressionism, Unknown",Impressionism,"{Academicism:2},{Impressionism:18},{Unknown:5}",25,Melbourne,1855.0,1917.0,Melbourne,male,Australia,painter,Melbourne,['Melbourne:1872-1917']
Fyodor Bronnikov,"Academicism, Realism, Romanticism",Romanticism,"{Academicism:35},{Realism:23},{Romanticism:53}",111,Shadrinsk,1827.0,1902.0,Anticoli Corrado,male,Russian Empire,"watercolorist,painter","Italy,France,Saint Petersburg,Rome","['Italy:1854-1857', 'France:1854-1857', 'Saint Petersburg:1843-1865', 'Rome:1865-1902']"
Gabriel Ferrier,"Academicism, Orientalism, Romanticism",Romanticism,"{Academicism:2},{Orientalism:4},{Romanticism:6}",12,Nîmes,1847.0,1914.0,Paris,male,France,"painter,teacher",,[]
Georg Pauli,"Academicism, Cubism, Impressionism, Post-Impressionism, Realism, Symbolism, Synthetism",Symbolism,"{Academicism:2},{Cubism:7},{Impressionism:11},{Post-Impressionism:5},{Realism:4},{Symbolism:3},{Synthetism:1}",33,Jönköpings Kristina församling,1855.0,1935.0,Botkyrka parish,male,Sweden,"painter,author","Stockholm,Paris",[]
George Demetrescu Mirea,"Academicism, Impressionism",Academic Art,"{Academicism:14},{Impressionism:9}",23,Bucharest,1852.0,1934.0,Bucharest,male,Romania,"painter,teacher",Romania,[]
George Folingsby,Academicism,Academic Art,{Academicism:11},11,County Wicklow,1828.0,1891.0,Melbourne,male,Australia,"art educator,painter",,[]
George Frederick Watts,"Academicism, Romanticism, Symbolism, Unknown",Symbolism,"{Academicism:39},{Romanticism:43},{Symbolism:50},{Unknown:1}",133,London,1817.0,1904.0,Compton,male,United Kingdom of Great Britain and Ireland,"sculptor,painter",London,[]
Giovanni (Nino) Costa,"Academicism, Naturalism",Academic Art,"{Academicism:1},{Naturalism:29}",30,,,,,,,,,
Giovanni Costa,"Academicism, Kitsch, Naturalism, Orientalism",Academic Art,"{Academicism:4},{Kitsch:21},{Naturalism:2},{Orientalism:4}",31,Rome,1826.0,1903.0,,male,Kingdom of Italy,"visual artist,painter,association football player",Italy,[]
Giulio Rosati,"Academicism, Orientalism",Orientalism,"{Academicism:2},{Orientalism:22}",24,Rome,1858.0,1917.0,Rome,male,Kingdom of Italy,painter,,[]
Giuseppe Mazzolini,Academicism,Academic Art,{Academicism:15},15,Camerino,1806.0,1876.0,,male,Kingdom of Italy,painter,,[]
Giuseppe de Nittis,"Academicism, Impressionism, Realism",Impressionism,"{Academicism:2},{Impressionism:30},{Realism:3}",35,Barletta,1846.0,1884.0,Saint-Germain-en-Laye,male,Kingdom of Italy,"pastellist,watercolorist,lithographer,drawer,printmaker,painter","Paris,London,Naples",[]
Guillaume Seignac,Academicism,Academic Art,{Academicism:47},47,Rennes,1870.0,1924.0,Paris,male,France,painter,,[]
Gustave Boulanger,"Academicism, Orientalism, Unknown",Academic Art,"{Academicism:7},{Orientalism:6},{Unknown:1}",14,former 2nd arrondissement of Paris,1824.0,1888.0,rue Ballu,male,France,painter,,[]
Gustave-Claude-Etienne Courtois,"Academicism, Orientalism, Realism",Academic Art,"{Academicism:8},{Orientalism:2},{Realism:2}",12,,,,,,,,,
Henri-Paul Motte,Academicism,Academic Art,{Academicism:12},12,Paris,1846.0,1922.0,Bourg-la-Reine,male,France,painter,,[]
Henri-Pierre Picou,"Academicism, Orientalism",Academic Art,"{Academicism:35},{Orientalism:1}",36,Nantes,1824.0,1895.0,Nantes,male,France,painter,,[]
Henryk Siemiradzki,"Academicism, Romanticism, Unknown",Romanticism,"{Academicism:75},{Romanticism:27},{Unknown:2}",104,Pechenihy,1843.0,1902.0,"Strzałków, Łódź Voivodeship",male,Congress Poland,painter,"Munich,Saint Petersburg,Rome","['Munich:1871-1871', 'Saint Petersburg:1864-1871', 'Rome:1872-1877']"
Herbert James Draper,"Academicism, Romanticism, Unknown",Academic Art,"{Academicism:49},{Romanticism:6},{Unknown:1}",56,London,1863.0,1920.0,London,male,United Kingdom of Great Britain and Ireland,"visual artist,painter,illustrator",,[]
Hermann David Salomon Corrodi,"Academicism, Orientalism, Romanticism",Romanticism,"{Academicism:5},{Orientalism:13},{Romanticism:9}",27,Frascati,1844.0,1905.0,Rome,male,Kingdom of Italy,painter,,[]
Jan Sluyters,"Academicism, Cubism, Expressionism, Fauvism, Post-Impressionism",Post-Impressionism,"{Academicism:1},{Cubism:1},{Expressionism:15},{Fauvism:12},{Post-Impressionism:13}",42,'s-Hertogenbosch,1881.0,1957.0,Amsterdam,male,Kingdom of the Netherlands,"lithographer,designer,postage stamp designer,bookbinder,painter,poster artist,illustrator",,[]
Jean Benner,Academicism,Academic Art,{Academicism:13},13,Mulhouse,1836.0,1906.0,Paris,male,France,"designer,painter",,[]
Jean Béraud,"Academicism, Impressionism",Academic Art,"{Academicism:4},{Impressionism:13}",17,Saint Petersburg,1849.0,1935.0,rue du Boccador,male,France,painter,Paris,[]
Jean Lecomte du Nouÿ,"Academicism, Neoclassicism, Orientalism, Romanticism",Romanticism,"{Academicism:6},{Neoclassicism:2},{Orientalism:4},{Romanticism:7}",19,Paris,1842.0,1923.0,Paris,male,France,"sculptor,painter",,[]
